Y;Carro (C) ou caminhão (T);Deslocamento em pés cúbicos;Potência máxima;Código do sistema de direção;Peso equivalente de teste;Razão de compressão;Razão de eixo;Razão vmvv (velocidade do motor versus velocidade do veículo a 75 km/h)
30,8;C;215;253;4;4500;9,9;3,07;30,9
32,5;T;201;180;F;4500;9,3;2,49;32,3
35,4;C;196;168;R;3375;10;3,27;37,1
28,1;T;226;210;R;4500;9,2;3,55;29,6
24,4;T;226;210;4;5000;9,2;3,55;29,6
24,1;T;348;345;R;5250;8,6;3,55;27,2
28,5;T;226;210;R;4500;9,2;3,07;30,4
24,2;T;348;230;4;5000;9;3,07;24,7
32,8;T;148;150;R;4000;9,5;4,1;41
28;T;226;210;4;4250;9,2;3,73;31,2
41,3;C;122;132;F;3000;9,8;2,69;39,2
30;T;215;249;F;4750;9,9;2,95;35,3
28,2;T;215;249;4;5000;9,9;2,95;35,3
34,1;T;148;220;F;3625;9,5;2,69;37,3
18,7;T;500;500;R;5250;9,6;4,1;22,3
20,3;T;348;345;4;6000;8,6;3,92;29
35,1;C;165;200;F;3625;9,7;2,69;36,8
37,9;C;148;167;F;3500;9,5;2,69;36,8
33,8;T;148;150;F;4250;9,4;2,69;34,9
25,9;C;500;501;R;3750;9,6;3,07;19,4
26,4;T;148;150;4;3625;9,5;3,73;40,1
